Model,Mean_Acc,Mal_Prob,Ben_Prob,Separation
Gemma,100.0,0.49999543742160313,2.2857416791816323e-06,5.358670451645672
SmolLM,100.0,0.49090865422253127,0.004545673872445148,2.0354163028303622
Llama,98.14814814814815,0.49415349773049055,0.002923253262025556,3.250178086118312
Qwen,96.31944444444444,0.48217847986356527,0.008910761693207545,2.694677145571424
Overall,98.61689814814815,0.49180901730954757,0.0040954936423393574,3.3347354965414424
